"AIRPORTS AUTHORITY OF INDIA – MUMBAI - 99.PRE-FLIGHT INFORMATION BULLETIN[KOLKATA FIR]","10.12.20THU"
"FOR PERM NOTAMS, PLS REFER PERM NOTAM BULLETIN PUBLISHED ON 01 AND 16 DAY OF EVERY MONTH. THIS BULLETIN CONTAINS:1. INFORMATION EFFECTIVE ON THE DATE MENTIONED ABOVE.2. ADVANCE INFORMATION THAT WILL BECOME EFFECTIVE WITHIN NEXT 24 HOURS.3. NOTAMS ON TAXIWAY AND APRON ARE NOT INCLUDED.4. ANY CHANGES IN PERM NOTAM DURING THE PERIOD BETWEEN 01TO15 AND 16 TO END OF THE MONTH",,,
LOC,RMK,NOTAM TXT,NTM NO.
VECF,INF,"(UPTO 30.12.20) 2300-2359 0000-0130 LAUNCHING OF METEOROLOGICAL UNMANNED BALLOON FLT WILL TAKE PLACE AS PER FLWDETAILS: 1.COORD OF LAUNCH SITE: 244600N 0935400E 2.COLOR AND SHAPE: CREAMY WHITE ROUND 3.SIZE OF BALLOON: NECKDIAMETER- 7CM AND 14CM UN-INFLATED DIAMETER- 13CM AND 20CM 4.NR OF LAUNCH PER DAY: TWO 5.MAX VER HGT: 35KM APRX6.RATE OF ASCENT: 5-6 M PER SEC 7.MAX HORIZONTAL DISPLACEMENT: 185KM TOWARDS W HGT:GND/ 35000M AGL",A1318/20
VECF,INF,"(PERM) EF EAIP INDIA SECTION ENR 5.2.1. LOWER LIMIT OF TSA602 DUDHKUNDI AMENDED AS GND IN PLACE OF MSL. AMENDACCORDINGLY.",G1279/20
VECF,INF,"(FROM 28.01.21 0000 UPTO 13.02.21 2359) TRIGGER NOTAM- AIRAC AIP SUP 236/2020 WEF 28 JAN 2021. ESTABLISHMENT OFDARBHANGA CTR.",G1262/20
VECF,INF,"(FROM 28.01.21 0000 UPTO 13.02.21 2359) TRIGGER NOTAM - AIRAC AIP SUP 234/2020 WEF 28 JAN 2021. ESTABLISHMENT OF ATSROUTE W171.",G1261/20
VECF,INF,"(FROM 28.01.21 0000 UPTO 13.02.21 2359) TRIGGER NOTAM - AIRAC AIP SUP 233/2020 WEF 28 JAN 2021 ESTABLISHMENT OF ATSROUTE W170.",G1260/20
VECF,INF,"(FROM 28.01.21 0000 UPTO 13.02.21 2359) TRIGGER NOTAM - AIRAC AIP SUP 232/2020 WEF 28 JAN 2021. ESTABLISHMENT OFCONNECTOR ATS ROUTE V98.",G1259/20
VECF,INF,"(UPTO 24.01.21 2359 EST) CONTROL ZONE FOR DARBHANGA (IAF) AIRPORT (VEDH) IS ESTABLISHED AS BELOW:- CIRCULAR AREACENTREDONARPDARBHANGAAIRPORT(261138.94N0855455.38E)WITHINARADIUSOF15NM.VERTICALLIMIT:FL65/GND,AIRSPACE CLASSIFICATION: CLASS - D, CONTROLLING UNIT: DARBHANGA TOWER, FREQUENCY: 123.5 MHZ, TELE FAX: 06272-225022AND WATCH HOURS: HO.",G0972/20
VECF,INF,"(UPTO 24.01.21 2359 EST) ATS ROUTE CONNECTIVITY FOR FLIGHT PLANNING AND OPERATIONS TO/FROM DARBHANGA AIRPORT(VEDH) IS AS BELOW: VERTICAL LIMIT: FL100/FL250, AIRSPACE CLASSIFICATION: CLASS D, LONGITUDINAL SEPARATION: 50NM,ROUTE WIDTH: 20 NM. DETAILS OF THE ROUTINGS ARE AS BELOW: 1) FROM/TO ATS ROUTES R325/Q18/W105 (BI-DIRECTIONAL): -TAXOP - RUKNI- TR 309/129 - 34.3 NM - MFA /4000 FEET- VEDH (261138.94N 0855455.38E). 2) FROM PPT VOR (UNI-DIRECTIONAL EBONLY): - PPT VOR - TR051/ - 57.4 NM - MFA/4000 FEET - VEDH (261138.94N 0855455.38E). 3) TO PPT VOR (UNI-DIRECTIONAL WB ONLY) -VEDH (261138.94N 0855455.38E) - TR300/ - 16.2 NM - IPLAS - MFA/4000 FEET - G335 - PPT VOR ATS UNIT FREQ: DHARBHANGA TOWER:123.5 MHZ PATNA APPROACH: 121.1 MHZ (APP), 118.3 MHZ (TWR) KOLKATA ACC: 133.75 MHZ, 132.25 MHZ, 126.1 MHZ AND 120.1 MHZ",G0969/20
VECF,INF,(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 163/2020. RESTRUCTURING OF RESTRICTED AREA VER 87-C TEZPUR-III.,G0845/20
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 162/2020. ESTABLISHMENT OF TEMPORARY RESERVED AREA TRA612©TEZPUR.",G0844/20
VECF,INF,(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 161/2020. RESTRUCTURING OF RESTRICTED AREA VER 87-B TEZPUR-II.,G0843/20
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 160/2020. ESTABLISHMENT OF TEMPORARY RESERVED AREA TRA612(B)TEZPUR.",G0842/20
VECF,INF,(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 159/2020. ESTABLISHMENT OF RESTRICTED AREA VER 87(D) TEZPUR-IV.,G0841/20
VECF,INF,(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 158/2020. RESTRUCTURING OF RESTRICTED AREA VER 87-A TEZPUR-I.,G0840/20
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 157/2020. ESTABLISHMENT OF TEMPORARY RESERVED AREA TRA612(A)TEZPUR.",G0839/20
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 156/2020. RESTRUCTURING OF RESTRICTED AREA VER 81 KALAIKUNDA(B).",G0838/20
"AIRPORTS AUTHORITY OF INDIA – MUMBAI - 99.PRE-FLIGHT INFORMATION BULLETIN[KOLKATA FIR]","10.12.20THU"
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 155/2020. ESTABLISHMENT OF TEMPORARY RESERVED AREA TRA611(A)KALAIKUNDA, TRA611(B) KALAIKUNDA AND TRA611(C) KALAIKUNDA.",G0837/20
VECF,INF,(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 154/2020. RESTRUCTURING OF RESTRICTED AREA VER 86 GUWAHATI.,G0836/20
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 153/2020. ESTABLISHMENT OF TEMPORARY RESERVED AREA TRA610GUWAHATI.",G0835/20
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 152/2020. RESTRUCTURING OF RESTRICTED AREA VER 85-II HASHIMARA(B).",G0834/20
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 151/2020. ESTABLISHMENT OF TEMPORARY RESERVED AREA TRA609(B)HASHIMARA.",G0833/20
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 150/2020. RESTRUCTURING OF RESTRICTED AREA VER 85-I HASHIMARA(A).",G0832/20
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 149/2020. ESTABLISHMENT OF TEMPORARY RESERVED AREA TRA609(A)HASHIMARA.",G0831/20
VECF,INF,"(UPTO17.12.20)TRIGGERNOTAM –AIRACAIPSUPPLEMENT148/2020.RESTRUCTURINGOFRESTRICTEDAREAVER75-AGORAKHPUR.",G0830/20
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 147/2020. ESTABLISHMENT OF TEMPORARY RESERVED AREA TRA608GORAKHPUR.",G0829/20
VECF,INF,(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 146/2020. RESTRUCTURING OF RESTRICTED AREA VER 202 CHABUA.,G0828/20
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 145/2020. ESTABLISHMENT OF TEMPORARY RESERVED AREA TRA607(B)AND TRA607(C) CHABUA.",G0827/20
VECF,INF,(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 144/2020. RESTRUCTURING OF RESTRICTED AREA VER 88 CHABUA.,G0826/20
VECF,INF,"(UPTO 17.12.20) TRIGGER NOTAM – AIRAC AIP SUPPLEMENT 143/2020. ESTABLISHMENT OF TEMPORARY RESERVED AREA TRA607(A)CHABUA.",G0825/20
VECC,INF,"(UPTO 25.02.21) THU 0430-1130. RWY 19R/01L CLSD DUE MAINT.DRG THIS PERIOD RWY 19L/01R  AND INT OF RWY 19R/01L WITH TWYAVBL FOR UNRESTRICTED OPS.",A1622/20
VECC,CTN,"(UPTO 19.12.20) MON TUE THU-SAT 0330-1630 PORTION OF RWY19R/01L FM 50M S OF JUNCTION WITH TWY B AND 100M N OFJUNCTION WITH TWY C IS NOT AVBL FOR OPS DUE TO RWY RESURFACING WIP. PILOTS TO EXER CTN.",A1619/20
VECC,CTN,(UPTO 23.02.21 2359 EST) BIRD ACT IN AND AROUND AIRFIELD. PILOTS TO EXER CTN WHILE LDG AND TKOF,A1612/20
VECC,RWY,"(UPTO 13.02.21)MON TUE THU SAT 1900-2300RWY 19L/01R CLSD FOR OPS WHEN VIS IS1200M OR ABV. DRG THIS PERIOD,RWY19R/01L AVBL FOR ACFT OPS. ACFT MAY EXP DLA",A1542/20
VECC,RWY,"(UPTO 15.02.21 1759) GRASS CUTTING MACHINE DEPLOYED ON THE BASIC STRIPS OF RWY19L/01R AND RWY 19R/01L AND WILLKEEP CLEAR OF BOTH RWY. PILOTS ARE ADVISED TO EXER CTN",A1538/20
VECC,RWY,"(UPTO 13.01.21) WED 0600-0800, SUN 0430-0830 RWY 19L/01R CLSD FOR OPS DUE MAINT WORK WHEN VIS 1200M OR ABV. DRG THISPERIOD RWY 19R/01L AVBL FOR UNRESTRICTED OPS. 30 MIN PN FOR AVBL OF RWY 19L/01R",A1531/20
VEAT,CTN,(UPTO 24.01.21) 0300-1400 PILOTS TO EXER CTN WHILE LDG AND TKOF DUE BIRD ACT,C1768/20
"",,,
"",,,
VEBD,CTN,"(UPTO 24.02.21 EST) OBSTRUCTIONS WI RWY STRIP. IAF INSTALLATIONS ON EASTERN SHOULDER OF RWY NEAR RWY36 END. DISTFM RWY EDGE IS 19M. HGT OF OBST 7M. ALL ACFT TO EXER CTN",A1627/20
VEBD,RWY,(UPTO 31.12.20 2359) TURN PAD RWY36 CLSD,A1616/20
VEBD,RWY,"(UPTO 31.12.20 2359) THR RWY36 IS DISPLACED BY 330FT TEMPO. DECLARED DIST AS FLW:RWY36 TORA 8670FT TODA 9895FT ASDA 9595FT LDA 8670FTRWY18 TORA 8670FT TODA 10127FT ASDA 8670 LDA 8670FT",A1615/20
VEBD,RWY,(UPTO 31.12.20 2359) 330FT FM BEGINNING OF RWY36 IS NOT AVBL FOR OPS DUE TO CIV WIP. DISPLACEMENT MARKING IS AVBL,A1614/20
VEBD,CTN,(UPTO 18.12.20 1230) SR-0330 1030-SS EXCESSIVE BIRD ACT OVER AIRFIELD. ALL ACFT TO EXER CTN,A1521/20
VEBD,INF,(UPTO 23.01.21 2359 EST) ALL CIV ACFT MAY EXP DLA IN ARR/DEP DUE TO OPR RQMNTS,A1511/20
VEBI,CTN,"(UPTO 07.01.21 1230) CIVIL WIP ON RWY STRIP FM 75M TO 140M FM RWY CL ON BOTH SIDES OF RWY. PILOTS TO EXER CTN WHILELDG AND TKOF",C2045/20
VEBI,CTN,"(UPTO 09.02.21 2359) CONST WIP FOR ADDN LINK TAX FM BEGINNING OF RWY22 TO ISOLATION BAY.ALL PILOTS ARE REQ TO EXERCTN DRG TAX,LDG AND TKOF",C1870/20
VEBI,CTN,"(UPTO 09.02.21 2359) CONST WIP FOR ADDN LINK TAX FM RWY TO APN.ALL PILOTS ARE REQ TO EXER CTN DRG TAX , LDG AND TKOF",C1868/20
VEBI,CTN,"(UPTO 09.02.21 2359) PIPE LAYING WIP ON BOTH SIDES OF RWY BTN 50M TO 140M FM RWY CL.ALL PILOTS ARE REQ TO EXER CTNDRG TAX, LDG AND TKOF",C1867/20
VEBK,RWY,(UPTO 19.01.21 2359 EST) RWY 13/31 DIMENSION 1671M X 31M. RWY 13 THR DISPLACED BY 160M,C1734/20
VEBN,INF,"(UPTO 01.12.20 2359 EST) ALL NON SKED ACFT LDG AT VEBN TO TAKE POSITIVE CLR FM VEBN FOR AVBL OF PRKG STAND BFR DEPDUE SHORTAGE OF PRKG STAND.",A1625/20
VEBN,INF,"(UPTO 31.12.20) 0400-1200 ATS SURVEILLANCE BASED APCH CTL SERVICE USING MSSR AND ADS-B INTEGRATED MODE TRIAL OPSSHALL BE PROVIDED WI THE JURISDICTION OF VARANASI APCH CTL ON VHF 123.875 MHZ (MAIN) AND 119.0MHZ (STANDBY).THE JURISDICTION OF APCH SURVEILLANCE UNIT AT VEBN IS DEFINED AS FOLLOWS: A) WI 30NM FM ARP GND TO FL145.B) BTN 30NM AND 50NM FM ARP FL105 TO FL145 EXCLUDING THE OVERLAPPING PORTION OF AIRSPACE OF VIR 146B/VIR146A(PRAYAGRAJ) AND VER75A (GORAKHPUR). SSR TRANSPONDER AND/OR ADS-B OUT EQUIPPED ACFT FLY WI VEBN APCHJURISDICTION SHALL COMPLY WITH THE PROVISIONS CONTAINED IN AIP INDIA ENR 1.6 ATS SURVEILLANCE SERVICES",A1599/20
VEBN,CTN,(UPTO 13.02.21 EST) PILOTS TO EXER CTN WHILE LDG AND TKOF DUE BIRD ACT,A1555/20
VEBN,INF,(01.02.21 2359) 1900-2359 RWY09/27 CLSD DUE CIV SURVEY WIP AT RWY STRIP. FOR URGENT RQMNTS 30 MIN PN AVBL OF RWY09/27,A1476/20
VEBN,RWY,"(UPTO 31.01.21 EST) TEMPO/PERM EXEMPTIONS OF FLW NON COMPLIANCE AGAINST RQMNTS, GRANTED BY DGCA INDIA: NON STDWID OF RWY STRIP AVBL 75M ON EITHER SIDE OF RWY CL AND `REQUIREMENT IS 150M",A1689/20
VEBS,INF,"(UPTO 14.02.21 2359) ALL NON SKED/CASUAL OPR WITH INTEND TO LAND AT VEBS AND TO MAKE NIGHT HALT AT VEBS SHOULDTAKE POSITIVE CLR FM ATC VEBS BFR DEP FOR VEBS DUE SHORTAGE OF PRKG BAYS",C1917/20
VEBS,CTN,"(UPTO 31.01.21 2359) WIP FOR EXTN OF BOX CULVERT UPTO RWY STRIP AND CONST OF CONNECTING DRAINS AT RWY14 SIDE. RWYTOP LEVEL 31M AND BED LEVEL AT WHICH WORK IS BEING DONE 24M. DIST OF WORK SITE FM RWY CL 90M.MENAND MATERIAL DEPLOYED AT WORKSITE .PILOTS TO EXER CTN WHILE LDG/TKOF/TAX",C1916/20
VEBS,CTN,(UPTO 31.01.21 2359) GRADING WIP IN BASIC STRIP RWY 14/32. PILOTS TO EXER CTN WHILE LDG/TKOF/TAX,C1915/20
VEBS,INF,"(UPTO 30.01.21) 0130-1230 LEVELLING WIP ALONG WITH MAN AND MATERIAL WI BASIC STRIP RWY14/32. PILOT TO EXER CTN WHILELDG, TKOF AND TAX",C1802/20
VEBS,CTN,(UPTO 04.01.21 2359) BIRD ACT OBSERVED IN AND AROUND THE AIRFIELD. PILOTS TO EXER CTN WHILE LDG/TKOF,C1656/20
VECX,INF,(UPTO 11.02.21) 0530-0930 PN FOR ALL NON SKED ACFT MOV. SPACE RESTRICTION ON APN BAY,C1880/20
VECX,INF,(UPTO 29.01.21) 0200-1200 ONLY TWO NR PRKG BAYS AVBL FOR Q400 OR EQUIVALENT TYPE OF ACFT,C1811/20
VEGT,RWY,(UPTO 31.12.20) 1730-2359 REPLACEMENT OF THR/END LGT RWY02/20 WIP,A1637/20
VEGT,RWY,"(UPTO 10.02.21 EST) RWY BASIC STRIP IS AVBL 75M ON EACH SIDE OF RWY CL AND ITS EXTENDED CL UPTO 60M FM THE BEGININGAND END OF RWY",A1535/20
VEGT,RWY,(UPTO 06.01.21 1630 EST) THE NON FRAGILE BDRY FENCE BTN IAF AREA AND AD FALLS WI RWY STRIP. PILOT TO EXER CTN,A1338/20
VEGT,CTN,(UPTO 05.03.21 2359 EST) GRASS CUTTING WIP IN BASIC STRIP OF RWY02. PILOT TO EXER CTN,A1664/20
VEGT,CTN,"(UPTO 05.03.21 2359 EST) OBST FOR GROUP OF TREES TOP ELEV 69.8 M AMSL AT 611 M FM THE RWY02 ON APCH SIDE. PILOT TOEXER CTN",A1663/20
VEGT,CTN,(UPTO 05.03.21 2359 EST) BIRD ACTIVITIES IN AND AROUND THE AIRFIELD OBSERVED. PILOTS TO EXER CTN WHILE LDG AND TKOF,A1662/20
VEGT,RWY,(UPTO 25.12.20) MON-FRI 0750-0920 RWY02/20 CLSD DUE MAINT WIP,A1258/20
VEGY,CTN,(UPTO 13.02.21 EST) OBST: FIRE STATION TWR BLDG WITH OBST LGT TOP ELEV 128.71M AMSL AT 244444.510N0845703.42E.DIST FM,A1561/20
"AIRPORTS AUTHORITY OF INDIA – MUMBAI - 99.PRE-FLIGHT INFORMATION BULLETIN[KOLKATA FIR]","10.12.20THU"
"",,RWY10/28 CL 168.10M.MARKING CHECKER PATTERN/OBST LGT INSTL.PILOT TO EXER CTN WHILE LDG AND TKOF,
VEGY,CTN,"(UPTO 13.02.21 EST) OBST: OLD ATC TWR BLDG WITH LGT ARRESTOR TOP ELEV 132.12M AT 244448.497N0845643.155E.DIST FMRWY10/28 CL 159.00M. MARKING CHECKER PATTERN/OBST LGT INSTL.PILOT TO EXER CTN WHILE LDG AND TKOF",A1560/20
VEGY,CTN,"(UPTO 24.01.21 2359 EST) BIRD ACTIVITIES IN AND AROUND AIRFIELD, PILOTS TO EXER CTN WHILE LDG AND TKOF",A1405/20
VEGY,INF,(UPTO 02.01.21) 0000-0200 1100-1330 DEFENCE MICROLIGHT TRAINING ACFT WILL BE OPR WI 3NM FM GGC VOR HGT: GND/700FT AGL,A1297/20
VEGY,INF,"(UPTO 15.12.20 1230) OBST TYPE: BLDG (DAAL MILL) IN TRANSITION SFC.COORD: 244419.362N0845751.838E, ELEV: 136.5M MARKINGCHECKER PATTERN/OBST LGT INSTL. PILOT TO EXER CTN WHILE LDG AND TKOF",A1215/20
VEIM,CTN,"(UPTO 24.02.21 1230) DUE TO INCREASED BIRD ACT IN AND AROUND AP, PILOT TO EXER CTN WHILE LDG AND TKOF",C1964/20
VEIM,RWY,"(UPTO 31.12.20 EST) RWY STRIP AVBL 75M ON EITHER SIDE OF RWY CL , TEMPO EXEMPTION TAKEN FM DGCA UPTO 31 DEC 2020",C1822/20
VEIM,CTN,"(UPTO 11.12.20 1200 EST) GRASS CUTTING WORK AT BASIC STRIP AND ALLIED AREAS AT THE OPR AREA. PILOTS TO EXER CTNWHILE LDG AND TKOF",C1529/20
VEJH,INF,(UPTO 18.01.21 2359 EST) NDB PROC DESIGNED AND APPROVED SHALL BE USED ONLY FOR RWY24 FOR ALL WX OPS,C1737/20
VEJH,CTN,"(UPTO 13.12.20 2359 EST) LAND FILLING WIP IN APCH PATH OF RWY06 AT 230M FM RWY END, PILOT TO EXER CTN",C1544/20
VEJS,INF,"(UPTO 17.01.21 2359 EST) DUE TO SHORTAGE OF PRKG BAYS AT JAMSHEDPUR, ALL OPR ARE REQ TO OBTAIN PRIOR PERMISSIONPOSITIVELY FM THE AIRPORT MANAGER JAMSHEDPUR AT LEAST 24 HR IN ADVANCE",C1722/20
VEJT,INF,(UPTO 03.03.21 1030 EST) TDZ LGT NOT AVBL,C2033/20
VEJT,INF,(UPTO 03.03.21 1030 EST) CL LGT FOR FIRST 1000FT FOR RWY04 AND LAST 1000FT FOR RWY22 NOT AVBL,C2034/20
VEJT,INF,"(UPTO 10.02.210 2359 EST) DUE SLAB CONST WIP ON DUMBBELL 22 FLW NAV AIDS AT ORIGIN ARE NOT AVBL 1. ILS AT ORIGIN NOTAVBL. 2. PAPI FOR RWY 22 NOT AVBL. 3. APCH LGT FOR RWY22 AVBL. 4. STD CAT II AIRFIELD LGT SYSTEM NOT AVBL DUE RWY EDGEAND CL LGT NOT AVBL FOR FIRST 1000FT OF RWY04, NON STD TDZ LGT FOR RWY04. 5. ALL AIRCREW TO DISREGARD DISTANCE TOGO MARKERS(DTGMS) FOR RWY04 AND DISREGARD COLOUR CODING OF RWY CL LGT. 6. SRA FOR RWY22 NOT AVBL. ALL TKOF ANDLDG MINIMA AT JORHAT TO BE CALCULATED AS PER VOR APCH ONLY",C1860/20
VELR,RWY,"(UPTO 03.02.21 2359 EST) NON STANDARD WID OF RWY STRIP AVBL 75M EITHER SIDE OF THE CL OF RWY AND REQUIREMENT IS140M",C1836/20
VEMN,INF,(UPTO 31.12.20) 0100-1000 REFUELING FAC AVBL,C2046/20
VEMN,CTN,"(UPTO 19.01.21 1000 EST) WIP FOR EXCAVATION AND DISMANTLING OF EXISTING OPEN DRAIN AND CONST OF NEW CONVERTEDDRAIN AT 90M FM RWY CL ON BOTH THE SIDES",C1731/20
VEMN,RWY,"(UPTO 24.12.20 1000) REVISED DECLARED DIST OF DIBRUGARH AP ARE AS FLW:-TORA   TODA     ASDA     LDA          RESARWY 05   1830M   1830M   1830M   1830M   180MX90MRWY 23   1755M   1755M   1755M   1573M    90MX90M",C1612/20
VEMN,CTN,"(UPTO 14.12.20 2359 EST) RWY EXTN AND RESA WIP OUTSIDE AP BOUNDARY WALL. PILOT TO EXER CTN WHILE LDG AND TKOF ONRWY05/23",C1559/20
